Allocation (%),Is Optimal,Annualized Return (%),Annualized Volatility (%),Sharpe Ratio,Beta vs ACWI,Alpha (%),"VaR (95%, period)","VaR (95%, annualized)",Max Drawdown (%),Correlation vs ACWI,Tracking Error (%),Information Ratio,Return Change (%),Vol Change (%),Sharpe Change,VaR Ann. Change (%),Max DD Change (%)
5.5,No,17.289890091392234,15.28356478553656,0.8695543400953801,0.9968531615135466,6.366346977101206,-2.7548078540839875,-19.86520194390147,-24.76572661855525,0.9845044994632435,2.680536378452962,2.366873652119875,0.8238677410972599,-0.5354834241422459,0.08151562973430426,0.8323511503550236,1.596484235184633
6.0,No,17.364187847118906,15.238907803876508,0.8769780629369838,0.9934592448922731,6.464222667357264,-2.7446594006912317,-19.792020405753,-24.619324962271886,0.9840282337107454,2.7145114136947237,2.3646224209246447,0.898166270680111,-0.5801397503091348,0.0889393688412482,0.9055677021537569,1.7428804045417117
6.5,No,17.438387293388026,15.194949128455718,0.8843983076074823,0.9900655880504943,6.561992395105714,-2.7345123275459335,-19.718848820710484,-24.47271690805282,0.9835039556244654,2.752650401922766,2.3588153411752133,0.972364045373709,-0.6240987191745564,0.09635952246139956,0.9787190790244793,1.8894888997589838
7.000000000000001,No,17.512482384401153,15.151694325047666,0.8918132912741851,0.9866727121388467,6.659650414048696,-2.7243631370065904,-19.645661966922372,-24.325903759359434,0.9829310167267481,2.7947746180371333,2.3497734271057578,1.0464608751007205,-0.6673542535226797,0.10377465245314832,1.0519315621250236,2.0363047631062337
7.5,No,17.586478468379596,15.109146896357837,0.8992220779622382,0.983279142867823,6.757216177930078,-2.714215142679975,-19.572483739146914,-24.178873857829814,0.9823086303358846,2.840712098486852,2.337823399889492,1.1204563917861954,-0.7099009228909505,0.11118336545359975,1.1250694294370795,2.183335591489797
8.0,No,17.660372855756457,15.067317369182454,0.9066227597818006,0.9798855631607514,6.85468223410092,-2.7040678448881734,-19.499310534155427,-24.03163183542121,0.9816362931439495,2.8902643920034228,2.323309790583329,1.194350383767386,-0.7517321032060202,0.11858410463074232,1.1982967635994193,2.330575294551693
8.5,No,17.73416546027915,15.02620595434905,0.9140141897432236,0.9764916415925085,6.952045048961445,-2.6939173765661812,-19.4261144661456,-23.88418018143021,0.9809130002134283,2.943270716168471,2.306539514288681,1.2681432544215063,-0.7928424869312174,0.12597550005015734,1.2714533611981267,2.47802707704847
9.0,No,17.8078560796598,14.985822430234954,0.9213946144057783,0.9730980385010777,7.049305583141127,-2.684154310111413,-19.35571199272874,-23.736515284793146,0.9801380656324354,2.9995461870620854,2.2878330252328705,1.341833862283302,-0.8332253688197149,0.13335589199155984,1.3418941485542852,2.6256897369393464
9.5,No,17.88144398446805,14.946177146979172,0.9287621742977721,0.9697049311387144,7.146459959714097,-2.6963815499446606,-19.44388387308108,-23.588646009573846,0.9793110943661046,3.0588893580993957,2.267505594445512,1.4154221809444145,-0.8728740255673504,0.14072364609843035,1.25369276791832,2.773561565737623
10.0,No,17.954929764455517,14.907267535490615,0.9361158730956018,0.9663116662876446,7.243511415425916,-2.708594272391847,-19.53195106707376,-23.4405537331571,0.9784310793716502,3.121147994451158,2.2458187080464684,1.4889080788587528,-0.9117833785634879,0.14807733947399315,1.1656309959515028,2.921650075994851
10.5,No,18.028314504821296,14.869097928451927,0.9434543085480797,0.9629174027268218,7.340472547673416,-2.7208120169813235,-19.62005447624952,-23.292258486726837,0.977497516706269,3.1861421069388696,2.2230393419076035,1.5622916784969512,-0.9499501252521547,0.1554155603248335,1.0775379654899062,3.0699478526471182
11.0,No,18.101594980495083,14.831685747009335,0.9507749301753196,0.9595241999353381,7.437322034491767,-2.733028676060021,-19.708150057695732,-23.14374264592869,0.9765098236094654,3.2537003849308346,2.1994040131039045,1.635572145922314,-0.9873643451310006,0.16273628297699705,0.9894116675604678,3.2184622515356622
11.5,No,18.17477247472974,14.79502495244468,0.9580769562938484,0.9561301170562335,7.534070899253561,-2.745244193783026,-19.796237408709,-23.002751238407935,0.9754672112194377,3.323679216649707,2.175112804607285,1.7087499994069795,-1.0240238095020615,0.17003826554082402,0.9013167309108248,3.3594557401384364
12.0,No,18.247846254284305,14.759128091488863,0.9653582627621886,0.9527372154107736,7.6307115851009435,-2.757462251673783,-19.884343077132424,-22.870749299705945,0.9743691270097824,3.395919898480509,2.150360778860324,1.7818246666317918,-1.0599198890049841,0.17731958919446733,0.813217195301398,3.4914553542662965
12.5,No,18.320817289306678,14.723997417317364,0.9726174817487748,0.9493433247641737,7.727252668793358,-2.769678493712226,-19.972435651258593,-22.738595470516515,0.9732149493031583,3.4702882941105946,2.125305280727141,1.854795212808046,-1.0950503482556577,0.18457876657222527,0.7251605130015655,3.623610931979215
13.0,No,18.39368362933982,14.68963924008792,0.9798527652101597,0.9459497820054782,7.823688504590839,-2.7818929778835546,-20.06051554922473,-22.606282848032492,0.9720040119976621,3.546651246074646,2.1000904403542826,1.9276616708538512,-1.129406833560406,0.19181397320916127,0.6370564646364301,3.7559202876896194
13.5,No,18.466446768118573,14.656064785323814,0.9870621466278505,0.9425558036649337,7.920022321020906,-2.794112462805911,-20.14863150811936,-22.473825471432004,0.9707360291858246,3.6248706632138834,2.074846321141547,2.000424685751902,-1.1629829566504828,0.19902342990476352,0.5489182184379082,3.8883761928184235
14.000000000000002,No,18.539105697505875,14.623270913482402,0.9942444329675292,0.9391624420840621,8.016249494457488,-2.806330567671369,-20.236737515282172,-22.34119879413034,0.969410105709834,3.7048426912679964,2.049670963754618,2.0730833187784903,-1.195777795138289,0.20620574566429417,0.46084257434951326,4.021005787963308
14.499999999999998,No,18.61165990360403,14.59126886485849,1.0013974822158644,0.9357690533465611,8.112373963346503,-2.8185467814990086,-20.324829885977344,-22.208430728596323,0.9680258130357794,3.786454482967685,2.024655171718224,2.1456378162771905,-1.227781856895069,0.21335891361931814,0.372752675770041,4.153774604872513
15.0,No,18.684109647522874,14.560055538720345,1.0085201672804491,0.9323759591807852,8.208393734357935,-2.830759963053709,-20.41290039064139,-22.075500361371013,0.9665830275701989,3.869578680594395,1.9998865369086487,2.2180877633046343,-1.2589929516937879,0.22048150036743774,0.2846482958539731,4.286706443558927
15.5,No,18.756454807103285,14.529643661433521,1.0156102345628608,0.9289820109359329,8.304309375835054,-2.842979977747415,-20.50102016977155,-21.942415549022535,0.96508061742783,3.954160224657719,1.9754033895626828,2.2904322100987713,-1.2894062362853322,0.227571592697135,0.19657211625840532,4.4197904519133004
16.0,No,18.828694086338203,14.500038036247107,1.022665875032157,0.9255886552588647,8.400115034624351,-2.8513366149192723,-20.56128073739871,-21.882472772142442,0.9635184962556143,4.0400827360604925,1.9512716320847934,2.362672302459032,-1.3190118398242046,0.23462728348969653,0.1363072964577121,4.479732101649763
16.3265306122449,Yes,18.87581396399838,14.481136767635109,1.0272545728071127,0.9233722879926796,8.46262845897219,-2.8544519990403305,-20.583746091781194,-21.847038207309943,0.9624659587152421,4.096877390794658,1.9357227359621543,2.409792134173717,-1.3379114784516695,0.23921589716122293,0.11381909689594139,4.515163724659644
16.5,No,18.900827752561522,14.471241151547645,1.0296855395135154,0.9221948945111482,8.495819710631958,-2.856107708987206,-20.595685586002705,-21.828217473869593,0.9618964277649052,4.127256533735961,1.9275352610981318,2.434806275785096,-1.3478080425675003,0.24164693341233967,0.10186128775820436,4.533988121675005
